,original_title,doc
10,The American President,"Widowed U S  president Andrew Shepherd  one of the world's most powerful men  can have anything he wants    and what he covets most is Sydney Ellen Wade  a Washington lobbyist  But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings Why can't the most powerful man in the world have the one thing he wants most Comedy Drama Romancethe_white_house,u.s._president,new_love,widower,wildlife_conservationRob_Reiner,Michael_Douglas,Annette_Bening,Michael_J._Fox,Martin_Sheen,Anna_Deavere_Smith,Shawna_Waldron,Samantha_Mathis,David_Paymer,Richard_Dreyfuss,Nina_Siemaszko,Wendie_Malick,Beau_Billingslea,Gail_Strickland,Joshua_Malina,Clement_von_Franckenstein,John_Mahoney,John_Mahon,Gabriel_Jarret"
11,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep  he falls prey to his charms and joins him in his search for fresh blood  Enter Professor Van Helsing  who may be the only one able to vanquish the Count  Comedy Horrorvampire,spoof,old_monster_movies,draculaMel_Brooks,Leslie_Nielsen,Mel_Brooks,Amy_Yasbeck,Peter_MacNicol,Lysette_Anthony,Harvey_Korman,Steven_Weber,Mark_Blankfield,Megan_Cavanagh,Gregg_Binkley,Anne_Bancroft,Clive_Revill,Chuck_McCann,Avery_Schreiber,Cherie_Franklin,Ezio_Greggio,Leslie_Sachs,Rudy_De_Luca,Darla_Haun,Karen_Roe,Charlie_Callas,Maud_Winchester,Kathleen_Kane"
12,Balto,"An outcast half wolf risks his life to prevent a deadly epidemic from ravaging Nome  Alaska Part Dog  Part Wolf  All Hero Adventure Animation Childrenwolf,pet,dog-sledding_race,alaska,dog,goose,bear_attack,dog_sledSimon_Wells,Kevin_Bacon,Bob_Hoskins,Bridget_Fonda,Jim_Cummings,Phil_Collins,Juliette_Brewer,Jack_Angel,Danny_Mann,Robbie_Rist,Sandra_Dickinson,Frank_Welker,Miriam_Margolyes,Lola_Bates-Campbell"
13,Nixon,"An epic look at President Richard M  Nixon—a man carrying the fate of the world on his shoulders while battling the self destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency Triumphant in Victory  Bitter in Defeat  He Changed the World  But Lost a Nation Dramawashington_d.c.,u.s._president,1970s,presidential_election,watergate_scandal,biography,government,historical_figure,richard_nixon,1960s,j_edgar_hooverOliver_Stone,Anthony_Hopkins,Joan_Allen,Powers_Boothe,Ed_Harris,Bob_Hoskins,E.G._Marshall,David_Paymer,David_Hyde_Pierce,Paul_Sorvino,Mary_Steenburgen,J.T._Walsh,James_Woods,Brian_Bedford,Kevin_Dunn,Fyvush_Finkel,Annabeth_Gish,Tony_Goldwyn,Larry_Hagman,Edward_Herrmann,Madeline_Kahn,Dan_Hedaya,Tony_Lo_Bianco,Tony_Plana,Saul_Rubinek,Robert_Beltran,John_Cunningham,John_Diehl,John_C._McGinley,Michael_Chiklis,David_Barry_Gray,Joanna_Going,George_Plimpton,Corey_Carrier,John_Bedford_Lloyd,James_Pickens_Jr.,Bridgette_Wilson,Ric_Young,Tom_Bower,Wilson_Cruz,Michelle_Krusiec,Bai_Ling,Marley_Shelton,James_Karen,Boris_Sichkin,Jon_Tenney,Sam_Waterston"
14,Cutthroat Island,"Morgan Adams and her slave  William Shaw  are on a quest to recover the three portions of a treasure map  Unfortunately  the final portion is held by her murderous uncle  Dawg  Her crew is skeptical of her leadership abilities  so she must complete her quest before they mutiny against her  This is made yet more difficult by the efforts of the British crown to end her pirate raids The Course Has Been Set  There Is No Turning Back  Prepare Your Weapons  Summon Your Courage  Discover the Adventure of a Lifetime Action Adventure Romanceexotic_island,treasure,map,ship,scalp,pirateRenny_Harlin,Geena_Davis,Matthew_Modine,Frank_Langella,Maury_Chaykin,Patrick_Malahide,Stan_Shaw,Rex_Linn,Paul_Dillon,Christopher_Masterson,Jimmie_F._Skaggs,Harris_Yulin,Carl_Chase,Peter_Geeves,Angus_Wright,Ken_Bones,Mary_Peach,Thomas_Lockyer,Roger_Booth,George_Murcell,Simon_Atherton,Dickey_Beer,Christopher_Halliday,Chris_Johnston,Richard_Leaf,Tam_White,Rupert_Vansittart,Nick_Bartlett,David_Bailie,Kwame_Kwei-Armah,Ramon_Tikaram,Christopher_Adamson"
15,Casino,"In early  s Las Vegas  low level mobster Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino  At first  he's a great success in the job  but over the years  problems with his loose cannon enforcer Nicky Santoro  his ex hustler wife Ginger  her con artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever increasing danger No one stays at the top forever Crime Dramapoker,casino,drug_abuse,1970s,overdose,mafia,las_vegas,illegal_prostitution,1980sMartin_Scorsese,Robert_De_Niro,Sharon_Stone,Joe_Pesci,James_Woods,Don_Rickles,Alan_King,Kevin_Pollak,Pasquale_Cajano,L.Q._Jones,Dick_Smothers,Frank_Vincent,Oscar_Goodman,Richard_Riehle,Catherine_Scorsese,Vinny_Vella,Nobu_Matsuhisa,Erika_von_Tagen,Nick_Mazzola,David_Rose,John_Bloom,Joseph_Rigano,Philip_Suriano,Melissa_Prophet,Bill_Allison,Joe_La_Due,Joseph_P._Reidy,Craig_Vincent,Carl_Ciarfalio,Gene_Ruffini,Dominick_Grieco,Clem_Caserta,Daniel_P._Conte,Joey_DePinto,Jack_Orend,Paul_Herman,Jed_Mills,Claudia_Haro,Ffolliott_Le_Coque,John_Manca,Ronald_Maccone,Joseph_Bono,Frank_Adonis,Anthony_Russell,Stuart_Nisbet,Alfred_Nittoli,C.C._Carr,Peter_Conti,Steve_Vignari,Frankie_J._Allison,Steve_Schirripa"
16,Sense and Sensibility,"Rich Mr  Dashwood dies  leaving his second wife and her daughters poor by the rules of inheritance  Two daughters are the titular opposites Lose your heart and come to your senses Drama Romancebowling,based_on_novel_or_book,servant,country_life,inheritance,rural_area,military_officer,period_drama,rainstorm,horse_and_carriage,decorum,19th_century,devonAng_Lee,Emma_Thompson,Alan_Rickman,Kate_Winslet,Hugh_Grant,Imogen_Stubbs,Greg_Wise,Gemma_Jones,Harriet_Walter,James_Fleet,Hugh_Laurie,Imelda_Staunton,Robert_Hardy,Elizabeth_Spriggs,Tom_Wilkinson,Emilie_François,Oliver_Ford_Davies,Richard_Lumsden,Ian_Brimble,Isabelle_Amyes,Lone_Madsen,Eleanor_McCready"
17,Four Rooms,"It's Ted the Bellhop's first night on the job   and the hotel's very unusual guests are about to place him in some outrageous predicaments  It seems that this evening's room service is serving up one unbelievable happening after another Twelve outrageous guests  Four scandalous requests  And one lone bellhop  in his first day on the job  who's in for the wildest New year's Eve of his life Comedyhotel,new_year's_eve,witch,bet,hotel_room,sperm,anthology,los_angeles,_california,hoodlum,woman_directorAllison_Anders,Alexandre_Rockwell,Robert_Rodriguez,Quentin_Tarantino,Tim_Roth,Jennifer_Beals,Antonio_Banderas,Valeria_Golino,David_Proval,Sammi_Davis,Amanda_de_Cadenet,Madonna,Ione_Skye,Lili_Taylor,Alicia_Witt,Tamlyn_Tomita,Lana_McKissack,Danny_Verduzco,Patricia_Vonne,Salma_Hayek,Quentin_Tarantino,Paul_Calderon,Bruce_Willis,Marisa_Tomei,Lawrence_Bender,Kathy_Griffin,Kimberly_Blair,Marc_Lawrence"
18,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet  Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka  the missing sacred animal of the friendly Wachati tribe  He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos  If Ace fails  the result will be a vicious tribal war New animals  New adventures  Same hair Comedyafrica,indigenous,human_animal_relationship,batSteve_Oedekerk,Jim_Carrey,Ian_McNeice,Simon_Callow,Maynard_Eziashi,Bob_Gunton,Sophie_Okonedo,Tommy_Davidson,Adewale_Akinnuoye-Agbaje,Danny_Daniels,Sam_Motoana_Phillips,Damon_Standifer,Andrew_Steel,Bruce_Spence,Tom_Grunke,Arsenio_'Sonny'_Trinidad,Kristin_Norton,Michael_Reid_MacKay,Kayla_Allen,Ken_Kirzinger,Dev_Kennedy,Patti_Tippo,Sabrinah_Christie,Warren_Sroka,Patrick_Michael_Strange,Leif_Tilden"
19,Money Train,"When a vengeful New York transit cop decides to steal a trainload of subway fares  his foster brother—a fellow cop—tries to protect him Get on  or GET OUT THE WAY Action Comedy Crime Drama Thrillernew_york_city,sibling_relationship,subway,new_york_subway,train_robberyJoseph_Ruben,Wesley_Snipes,Woody_Harrelson,Jennifer_Lopez,Robert_Blake,Chris_Cooper,Joe_Grifasi,Scott_Sowers,Skipp_Sudduth,Aida_Turturro,Vincent_Pastore,Enrico_Colantoni,Bill_Nunn,Katie_Gill,Jeremy_Roberts,Joe_Bacino"
20,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss  the psychopathic ""Bones"" Barboni  to collect a bad debt from Harry Zimm  a Hollywood producer who specializes in cheesy horror films  When Chili meets Harry's leading lady  the romantic sparks fly  After pitching his own life story as a movie idea  Chili learns that being a mobster and being a Hollywood producer really aren't all that different The mob is tough  but it’s nothing like show business Comedy Crime Thrillergambling,miami,_florida,based_on_novel_or_book,gangster,job,murder,travel,mafia,money,debt,mobster,business,hollywood,violence,drugs,producer,conBarry_Sonnenfeld,John_Travolta,Gene_Hackman,Rene_Russo,Danny_DeVito,Dennis_Farina,Delroy_Lindo,James_Gandolfini,Jon_Gries,Renee_Props,David_Paymer,Martin_Ferrero,Miguel_Sandoval,Jacob_Vargas,Bobby_Slayton,Linda_Hart,Jeffrey_J._Stephen,Rebeca_Arthur,Donna_W._Scott,Ron_Karabatsos,John_Cothran,_Jr.,Jack_Conley,Bernard_Hocke,Harvey_Keitel"
21,Copycat,"An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past One man is copying the most notorious killers in history one at a time  Together  two women must stop him from killing again  Or they’re next Crime Drama Horror Mystery Thrillerpolice_brutality,psychology,police_operation,police_protection,serial_killer,psychologist,cowardlinessJon_Amiel,Sigourney_Weaver,Holly_Hunter,Will_Patton,William_McNamara,Harry_Connick_Jr.,J.E._Freeman,Dermot_Mulroney,John_Rothman,Shannon_O'Hurley,Bob_Greene,Tony_Haney,Danny_Kovacs,Tahmus_Rounds,Scott_Devenney,David_Michael_Silverman,Diane_Amos,Kelly_De_Martino"
22,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster  only to witness a rival hired gun complete the job for him    with grisly results  Horrified by the murder of innocent bystanders  Rath decides to take one last job and then return to civilian life  But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself In the shadows of life  In the business of death  One man found a reason to live   Action Crime Thrillercompetition,assassination,cia,bank,cat,mexican_standoff,seattle,hitman,mission_of_murder,hidden_camera,rivalry,rescue,shootout,police_chase,sniper_rifle,detroit,silencer,double_cross,caribbean_seaRichard_Donner,Sylvester_Stallone,Antonio_Banderas,Julianne_Moore,Anatoli_Davydov,Muse_Watson,Steve_Kahan,Kelly_Rowan,Reed_Diamond,Kai_Wulff,Kerry_Skalsky,James_Douglas_Haskins,Stephen_Liska,John_Harms,Edward_J._Rosen,Christina_Orchid,Bruce_R._Orchid,James_Oliver,Sue_Carolyn_Wise,Ron_Ben_Jarrett,Marian_Collier,Dave_Young,Ragna_Sigrun,Mark_Woodford,Anibal_O._Lleras,Marta_Labatut,Choco_Orta,Ivonne_Piazza,Ángel_Vázquez,Axel_Anderson,David_Dollase,Jim_Graham,Wally_Dalton,Paul_Tuerpe,John_Procaccino,Nerissa_E._Williams,Juan_Manuel_Lebrón,Eddie_Bellaflores,Thomas_Helgeland,James_W._Gavin,Scott_Stuber,Richard_Blum,Michael_DeCourcey,Whitey_Shapiro,Stefan_Enriquez,Fulvio_Cecere,Shirley_Oliver,Eric_Sather,Wally_Gudgell,J._Mills_Goodloe,Peter_Sebastian_Lackaff,John_Lamar,Ernie_Hall,Calli_Medved,Robert_Sanders,Rhonda_J._Osborne,Christina_Herrera,Cary_Sanchez,Frank_R._Jimenez_Jr.,Jeff_King,David_""Shark""_Fralick,Bob_Minor"
23,Powder,"Harassed by classmates who won't accept his shocking appearance  a shy young man known as ""Powder"" struggles to fit in  But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things  This phenomenon changes the lives of all those around him in ways they never could have imagined An extraordinary encounter with another human being Drama Sci-Fishot_to_death,teenage_boy,held_at_gunpoint,teacher_student_relationship,albino,fainting,christ_allegory,psionic_power,healing_power,flickering_light,extrasensory_perception,paleVictor_Salva,Mary_Steenburgen,Sean_Patrick_Flanery,Lance_Henriksen,Jeff_Goldblum,Brandon_Smith,Bradford_Tatum,Susan_Tyrrell,Missy_Crider,Ray_Wise,Esteban_Powell"
24,Leaving Las Vegas,"Ben Sanderson  an alcoholic Hollywood screenwriter who lost everything because of his drinking  arrives in Las Vegas to drink himself to death  There  he meets and forms an uneasy friendship and non interference pact with prostitute Sera I Love You    The Way You Are Drama Romanceindividual,prostitute,alcohol,casino,love_at_first_sight,lovesickness,movie_business,screenwriter,hotel_room,dying_and_death,rage_and_hate,unsociability,alcoholism,los_angeles,_california,las_vegas,alcohol_abuseMike_Figgis,Nicolas_Cage,Elisabeth_Shue,Julian_Sands,Richard_Lewis,Steven_Weber,Kim_Adams,Emily_Procter,Stuart_Reynolds_,Valeria_Golino,Graham_Beckel,Albert_Henderson,Shashi_Bhatia,Carey_Lowell,Anne_Lange,Thomas_Kopache,Vincent_Ward,Lucinda_Jenney,French_Stewart,Ed_Lauter,Waldemar_Kalinowski,Mike_Figgis,David_Kriegel,Bill_Thompson,Marek_Stabrowski,R._Lee_Ermey,Mariska_Hargitay,Danny_Huston,Laurie_Metcalf,David_Brisbin,Shawnee_Smith,Paul_Quinn,Julian_Lennon,Tracy_Thorne,Bob_Rafelson,Susan_Barnes,Marc_Coppola,Michael_A._Goorjian,Jeremy_Jordan,Davidlee_Willson,Xander_Berkeley,Sergio_Premoli,Gordon_Michaels,Louis_Allen_Rawls"
25,Othello,"The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic Envy  greed  jealousy and love Dramajealousy,friends,moorOliver_Parker,Laurence_Fishburne,Irène_Jacob,Kenneth_Branagh,Nathaniel_Parker,Michael_Maloney,Anna_Patrick,Nicholas_Farrell,Indra_Ové,Michael_Sheen"
26,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming of age tale  four childhood girlfriends    Teeny  Chrissy  Samantha and Roberta    recall the magical summer of    During their walk down memory lane  they reconcile experiences with boys  secrets  bullies and more In every woman there is the girl she left behind Children Drama1970s,female_friendship,coming_of_age,gynecologist,photocopier,truth_or_dare,woman_directorLesli_Linka_Glatter,Christina_Ricci,Thora_Birch,Gaby_Hoffmann,Rosie_O'Donnell,Melanie_Griffith,Demi_Moore,Rita_Wilson,Cloris_Leachman,Janeane_Garofalo,Hank_Azaria,Devon_Sawa,Bonnie_Hunt,Lolita_Davidovich,Brendan_Fraser,Rumer_Willis,Ashleigh_Aston_Moore,Walter_Sparrow"
27,Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot  the daughter of a financially troubled aristocratic family  who is persuaded to break her engagement to Frederick Wentworth  a young sea captain of meager means  Years later  money troubles force Anne's father to rent out the family estate to Admiral Croft  and Anne is again thrown into company with Frederick    who is now rich  successful and perhaps still in love with Anne  Drama Romancecaptain,napoleonic_wars,old_flame,admiralRoger_Michell,Amanda_Root,Ciarán_Hinds,Susan_Fleetwood,Fiona_Shaw,John_Woodvine,Phoebe_Nicholls,Samuel_West,Sophie_Thompson,Judy_Cornwell,Simon_Russell_Beale,Felicity_Dean,Roger_Hammond,Victoria_Hamilton,Emma_Roberts,Robert_Glenister,Richard_McCabe,Helen_Schlesinger,Jane_Wood,David_Collings,Darlene_Johnson,Cinnamon_Faye,Isaac_Maxwell-Hunt,Roger_Llewellyn,Sally_George,Lonnie_James,Corin_Redgrave"
